e_number,article_number,name,category,series,size,color,unit,length_meters,active
1270702,NAL130W25020,KABL VIT HONA+FRI RQQ SKÄ.3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270857,NAL130W25030,KABL VIT HONA+FRI RQQ SKÄ.3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270720,NAL310W15010,KABL VIT HANE+FRI RQQ SKÄ.3G1,5 1M,cable,EnstoNet,3G1.5,white,m,1,true
1270872,NAL310W15020,KABL VIT HANE+FRI RQQ SKÄ.3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270873,NAL310W15030,KABL VIT HANE+FRI RQQ SKÄ.3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
1270723,NAL310W25010,KABL VIT HANE+FRI RQQ SKÄ.3G2,5 1M,cable,EnstoNet,3G2.5,white,m,1,true
1270724,NAL310W25020,KABL VIT HANE+FRI RQQ SKÄ.3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270878,NAL310W25030,KABL VIT HANE+FRI RQQ SKÄ.3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270731,NAL330W15020,KABL VIT HAN+HON RQQ SKÄ.3G1,5 2M,cable,EnstoNet,3G1.5,white,m,2,true
1270732,NAL330W15030,KABL VIT HAN+HON RQQ SKÄ.3G1,5 3M,cable,EnstoNet,3G1.5,white,m,3,true
1270733,NAL330W15040,KABL VIT HAN+HON RQQ SKÄ.3G1,5 4M,cable,EnstoNet,3G1.5,white,m,4,true
1270881,NAL330W15050,KABL VIT HAN+HON RQQ SKÄ.3G1,5 5M,cable,EnstoNet,3G1.5,white,m,5,true
1270882,NAL330W15060,KABL VIT HAN+HON RQQ SKÄ.3G1,5 6M,cable,EnstoNet,3G1.5,white,m,6,true
1270736,NAL330W25020,KABL VIT HAN+HON RQQ SKÄ.3G2,5 2M,cable,EnstoNet,3G2.5,white,m,2,true
1270737,NAL330W25030,KABL VIT HAN+HON RQQ SKÄ.3G2,5 3M,cable,EnstoNet,3G2.5,white,m,3,true
1270738,NAL330W25040,KABL VIT HAN+HON RQQ SKÄ.3G2,5 4M,cable,EnstoNet,3G2.5,white,m,4,true
1270884,NAL330W25050,KABL VIT HAN+HON RQQ SKÄ.3G2,5 5M,cable,EnstoNet,3G2.5,white,m,5,true
1270885,NAL330W25060,KABL VIT HAN+HON RQQ SKÄ.3G2,5 6M,cable,EnstoNet,3G2.5,white,m,6,true
1270860,NAL150W15020,KABL VIT HONA+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270861,NAL150W15030,KABL VIT HONA+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270865,NAL150W25020,KABL VIT HONA+FRI RQQ SKÄ.5G2,5 2M,cable,EnstoNet,5G2.5,white,m,2,true
1270866,NAL150W25030,KABL VIT HONA+FRI RQQ SKÄ.5G2,5 3M,cable,EnstoNet,5G2.5,white,m,3,true
1270740,NAL510W15010,KABL VIT HANE+FRI RQQ SKÄ.5G1,5 1M,cable,EnstoNet,5G1.5,white,m,1,true
1270888,NAL510W15020,KABL VIT HANE+FRI RQQ SKÄ.5G1,5 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270889,NAL510W15030,KABL VIT HANE+FRI RQQ SKÄ.5G1,5 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270751,NAL550W15020,KABL VIT HAN+HON RQQ SKÄ. 5G1,5 VIT 2M,cable,EnstoNet,5G1.5,white,m,2,true
1270752,NAL550W15030,KABL VIT HAN+HON RQQ SKÄ. 5G1,5 VIT 3M,cable,EnstoNet,5G1.5,white,m,3,true
1270753,NAL550W15040,KABL VIT HAN+HON RQQ SKÄ. 5G1,5 VIT 4M,cable,EnstoNet,5G1.5,white,m,4,true
1270898,NAL550W15050,KABL VIT HAN+HON RQQ SKÄ. 5G1,5 VIT 5M,cable,EnstoNet,5G1.5,white,m,5,true
1270899,NAL550W15060,KABL VIT HAN+HON RQQ SKÄ. 5G1,5 VIT 6M,cable,EnstoNet,5G1.5,white,m,6,true
1270756,NAL550W25020,KABL VIT HAN+HON RQQ SKÄ. 5G2,5 VIT 2M,cable,EnstoNet,5G2.5,white,m,2,true
1270757,NAL550W25030,KABL VIT HAN+HON RQQ SKÄ. 5G2,5 VIT 3M,cable,EnstoNet,5G2.5,white,m,3,true
1270758,NAL550W25040,KABL VIT HAN+HON RQQ SKÄ. 5G2,5 VIT 4M,cable,EnstoNet,5G2.5,white,m,4,true
1270901,NAL550W25050,KABL VIT HAN+HON RQQ SKÄ. 5G2,5 VIT 5M,cable,EnstoNet,5G2.5,white,m,5,true
1270902,NAL550W25060,KABL VIT HAN+HON RQQ SKÄ. 5G2,5 VIT 6M,cable,EnstoNet,5G2.5,white,m,6,true

1270906,NAL130W15020B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.3G1,5 2M,cable,EnstoNet,3G1.5,white-black,m,2,true
1270907,NAL130W15030B,KABL VIT HONA SV +FRI+FRI RQQ SKÄ.3G1,5 3M,cable,EnstoNet,3G1.5,white-black,m,3,true
